invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-56347500002,3/3/2023,5864,CASEY'S GENERAL STORE #2803 / VILLISCA,309 N U AVE,VILLISCA,50864,POINT(-94.98544 40.93475),,MONTGOMERY,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.5,5.25,24,126,18,4.75
INV-36550100007,5/12/2021,4981,SINCLAIR FOOD MART,206 N MAIN ST,TRAER,50675.0,POINT(-92.465474 42.196408),86,TAMA,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-37939300073,6/30/2021,2521,HY-VEE FOOD AND DRUG / GRAND / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265.0,POINT(-93.73162 41.571127),77,POLK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-59020200009,6/3/2023,4824,CASEY'S GENERAL STORE #3852 / CRESTON,107 W TAYLOR ST,CRESTON,50801.0,POINT(-94.361631097 41.0492459550001),,UNION,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.5,5.25,24,126,18,4.75
INV-20569600019,7/12/2019,4369,KUM & GO #28 / NORWALK,2992 SUNSET DR,NORWALK,50211.0,POINT(-93.674051 41.494857),91,WARREN,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-19965700039,6/12/2019,2601,HY-VEE FOOD STORE / FAIRFIELD,1300 WEST BURLINGTON AVE,FAIRFIELD,52556,POINT(-91.978702 41.006456),51,JEFFERSON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-42946100008,12/15/2021,5810,CASEY'S GENERAL STORE #2576 / WHAT CHEER,410 S BARNES ST,WHAT CHEER,50268.0,POINT(-92.354652 41.398987),54,KEOKUK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-41657800001,11/4/2021,5280,YESWAY STORE # 10011/ MASON CITY,1920 FEDERAL AVE S,MASON CITY,50401.0,POINT(-93.201072 43.133204),17,CERRO GORDO,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-14708200049,9/27/2018,2561,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POINT(-93.644943 41.542748),77,POLK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-20488100033,7/8/2019,5799,CASEY'S GENERAL STORE #2472 / NICHOLS,1334 HWY 22,NICHOLS,52766.0,POINT(-91.303838 41.481093),70,MUSCATINE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-36792900012,5/20/2021,4735,WALGREENS #01301 / OTTUMWA,327 W 4TH ST,OTTUMWA,52501.0,POINT(-92.413688 41.021787),90,WAPELLO,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-61262900009,8/15/2023,5295,YESWAY STORE # 10023/ WATERLOO,117 SAN MARNAN DR E,WATERLOO,50702.0,POINT(-92.355735019 42.458267008),,BLACK HAWK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.5,5.25,24,126,18,4.75
